,0
219,Damn- This feature will greatly boost LinkedIn&#39;s potential. Epic Short Luke!
220,What is your DREAM JOB in data science?!? (.....or favorite Mario character... 🤣)
221,"For data analytics content creators, your videos are the best produced and most objective on YouTube."
222,Thanks for the video. It is very informative.
223,"I can&#39;t thank you enough<br><br>I&#39;m kinda still a student, but I&#39;m extremely terrified of the idea &quot;being an adult&quot; and &quot;go to job&quot;<br><br>I really need to understand, and that&#39;s how I find this lovely video of yours<br><br>thanks"
224,"Nice work Luke, this was orchestrated well and nicely curated by you. I appreciate how you blended the various experiences, topics and trajectory of each participating interviewee."
225,"Hi Luke, Thanks for this informative video. Can you create more content about data managers or data strategists? It sounds like they do project management for analytics work? I’d be keen to know the skill sets that folks like them need to succeed, the challenges they face, and what they do everyday at work. Thanks again."
226,Wow pretty concise video. Subscribed.
227,Thorough and well put. I liked.
228,"this is very helpful, keep doing the great work mr.luke"
229,You reference Coursera in multiple videos<br>What&#39;s your take on ther CS BSc via UoL?
230,This video deserves more views
231,so basically data scientist in data science is like the full stack engineer in software engineering
232,So glad I found your channel!
233,"I started studying data science a few months ago and I realize that now I understand what a data scientist says, I feel like I have passed a step, it&#39;s very satisfying."
234,"Great insight, appreciate your video."
235,Very well simplified. Thank you sharing this content
236,"Thank you for creating this awesome and informative video! I’m about to graduate next month and am still trying to figure out what type of role I wanna work toward, so this was really insightful and encouraging! I appreciate it! 😁"
237,"Just as a data point (made a throwaway for privacy), I&#39;m an incoming Data Analyst with 1.5 YOE making $100k a year. For aspiring analysts, don&#39;t let salary get in the way if that&#39;s what you want to do. The market wants them."
238,Great video Luke. I enjoyed it!
239,"this is a very comprehensive, thank you!"
240,i depend on you with the m1 pro/max review since are the only one i know who test programming apps
241,love from india💖
242,"Hey Luke, cover the macbook m1 max, pleaseeeee"
243,Hi luke what do you think i have to focus if i want to become an it security and compliance analyst. Please help me because i don’t know where to start.
244,it&#39;s been 3 weeks since you uploaded this video. hope you are well.
