,0
45,"<a href=""https://www.youtube.com/watch?v=YEok4Ykw204&amp;t=37m45s"">37:45</a> welcome to Kingdom of Cambodia - Khmer country!"
46,All human civilization belongs to all human race. I was thought in citizens class room for naturalization to become American Citizen. USA deeply rooted beliefs in Capitalism but not in Monopoly of civilization it&#39;s 100% right.
47,"Number One: pasta chi saidde, poi pane ca meusa, ed infine i stigghiole 😋"
48,"<a href=""https://youtu.be/UE2dmOeH6sM"">https://youtu.be/UE2dmOeH6sM</a><br>Afghanistan, Wakhan corridor"
49,The first sight of TajMahal is MAGICAL It is something that can be experienced once in a lifetime. You cannot recreate that experience.
50,"Nothing from IRAN, the oldest countru in the world based on the GUINES ????"
51,"Wow.  I am so happy that , I seen the Meenachi temple   We are living just very close. I can go there every day."
52,Indonesia
53,TRULLY ALL R AMAZING CREATIONS 👌👌👌😭 LOVE THIS ❤️❤️
54,The Paris Catacombs and Stonehenge should be here
55,Number 1 should be Angkor Wat!
56,"we are Cambodian welcome to the world came to visit our country and our temples in our country Is not have only Angkor Wat temples, but we have a lot off temples 😊😊😊🙏🙏🙏"
57,អរគុណ
58,how is the GW of China at #10? it should be #2 at least. just thinking about building a wall that stretches thousands of miles long and through all the mountains is just amazing.
59,Well out of 30 I&#39;ve visited only 1
60,"<a href=""https://youtu.be/zY3Izzv0Wsg"">https://youtu.be/zY3Izzv0Wsg</a><br>पहाड़ की लाईफ स्टाइल"
61,i would like to go visit belgium someday?
62,Im here because i couldn&#39;t forget the &quot;russia expands 1 belgium  per year&quot; from a video.
63,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
64,"One of my High school art teachers is from Belgium,( an international school, not the normal high school in China）I want to go and visit him in the future, hope the Covid-19 can over as soon as possible."
65,"Canal muito bão<br><a href=""https://youtu.be/2KD6fenzo08"">https://youtu.be/2KD6fenzo08</a>"
66,Maasmechelen village. 👍
67,"Belgium has an  amazing square, recently been in gent and Brugge magnificent cities they have."
68,Hi
69,This chanal is helpful for us
70,Stay away this country is just a big industrial park.
71,wow very  beautiful 😍
72,where are the list of the best places in belgium
73,"The sign-attribution of Belgium is Celtic; from Gauls.  I didn&#39;t really understand that; have been startled by a feeling of clarity, with certain photos, from Belgium!  The clarity is natural, as our patriarchal attribution is also best Celtic- especially Scottish.  That is the sign of this entire continent, including Canada.  We can be Germanic, or Irish, easily- the subtle differences make Scottish Celtic our best, or surest.  A problem is, there exists no such sign, or attribution called by the name American; the name U.S.A. doesn&#39;t reflect one any whit more... they are names of an Asynchronization.  Due to certain Sublime World developments and changes, they are correctly now assayed as of Forbidden; names to use.  Best is to use Nova Scotia, or Alba Nuadh for this land, including Canada, which should perhaps be called Upper Nova Scotia.  This is profoundly more wise.  The sacrifice of an official change, I&#39;m sure there would be a great blessing, pursuant!  This, along with forsaking Frisian, or English language, is the best portent or indication that I know of; deanglicising.  There no longer exists a Frisian or English such attribution.  Monarchism should best have cessated completely by around 1800 A.D..  It was very unwise to try and continue with it, even in a very diluted format.  Aquarius wouldn&#39;t let any such in.  Generally, birth as Belgique, U.K., Irish, German, Swedish were a little more fortunate than birth in this mixed up land- but a fly in the ointment, a valiant eschewal of anything Monarchism was indicated.  The French were not too violent, in their valiance for this; no American Revolution was justified at all, however.  Obtaining possession of a land through violence, combination and bloodshed is a most forbidden means, especially if the purveyors of it don&#39;t really have much worthiness.  They bore a curse of Odiousness, those; couldn&#39;t have success in European society; not anyplace, really..."
74,"One thing I like about Belgium, is their chocolate. I buy them at my trader joes store here in California. Best chocolate I&#39;ve ever had, and it&#39;s cheap as hell, too."
75,Great video
76,"I live in belgium and I would add an important point : Keep in mind that each city has a french name and a dutch name, and they can be very different, so you could have severe trouble to know where you are if nobody tells you this fact. Also the trainstations use the name depending of their region, so everything will be in french in wallonia, but once the train will reach a dutch city the name will be in dutch so you could believe you aren&#39;t at the good place and stay in the train, you won&#39;t be noticed when you cross the regions and if you don&#39;t be carefull you could believe you are in a different country in 10 minutes, that&#39;s totaly normal in Belgium. Be careful because most tourist I meet are lost or struggle to find some places. Also most people doesn&#39;t speak both languages, so I suggest to use english if you can. I would also add that the country is very windy, and the wind comes from the north, so when it&#39;s 20°C outside it&#39;s like 15°C. Only 2 or 3 month at summer are sunny and tolerable, the rest of the yeat it&#39;s rainy and cold. You could also struggle to find a public bathroom, according to the law each city must have toilet, but they are often very well hidden, broken, or dirty, so go to the toilet at the trainstations or in a shop/coffee. The Ardenens are nice but be carefull with bikes, because it&#39;s never flat, if you are bad a sport it won&#39;t be cool for you. The bus are often kind of random when you leave a big city, the could be very late, I personnaly don&#39;t trust them as a citizen when I have a meeting. The trains are often late and you can easily miss your correspondence, they are also overcrowed, especially during friday and sunday. Overcrowed means it&#39;s impossible to sit. You can also visit Walibi Belgium if you like RollerCoasters, or Pairi Daiza if you like animals, it&#39;s a super nice theme park, but it&#39;s only good during summer, I suggest to visit the caves when it&#39;s cold outside, it&#39;s less overcrowded and the temperature is always the same underground."
77,"<a href=""https://youtu.be/6v1H1EGXxrA"">https://youtu.be/6v1H1EGXxrA</a>"
78,Great video about the beautiful country. I would like to recommend another wonderful place is Son Doong Cave in Vietnam. It&#39;s the largest cave in the world with great natural architecture underground!
79,Great 👍 👌
80,arziona
81,Do remember if you visit Arizona be sure you are tripled vaccinated and are masked because a lot of people here act as if there is no such thing as Covid.
82,As a Canadian with a Middle Eastern background my heart longs to live in a sunny beautiful place like Arizona. I will hopefully be booking a trip there soon to explore all the natural beauty. I&#39;m normally a very calm person but I currently have the excitement of a child !
83,Beautiful state to live in great state but now californians are moving into az they are escaping from high taxes and disgrace
84,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
85,"Arizona. Visit, then go home, please.😇"
86,You forgot to be include slide rock park
87,"Don&#39;t miss Chiricahua National Monument in SE Arizona! Have a look: <a href=""https://youtu.be/xKkjKe8gDUY"">https://youtu.be/xKkjKe8gDUY</a>"
88,"Canal maravilho<br><a href=""https://youtu.be/2KD6fenzo08"">https://youtu.be/2KD6fenzo08</a>"
89,Great video!! So many places to explore in AZ!
90,"I’m afraid I would get lost, and trust me my spacey brain would find a way to do it. But wow it is beautiful to look at through these videos."
91,Wow really nice 👍
92,"Great video,...I  want to visit Arizona now."
93,Excellent video tour
94,"Saguaro National Park is so quiet, it&#39;s ethereal!"
95,"Jerome, Bisbee, Rt. 89A through Oak Creek Canyon, the Catalina Mountains, and the list goes on!!  Beautiful place.  So glad we moved here."
96,Looks beautiful 🙏
97,Very good 10 best to visit I like it
98,Lovely chanal
99,Wow Great
100,Lain kali syarikat Travel Agency negara Malaysia jangan jadi bodoh. Siapa2 nak travel luar negara kena ikut sejarah world war 2. Untuk Malaysia &amp; Singapore kena pergi Hawaii dulu baru boleh pergi USA.
101,cool and relaxing probably the best place to visit
102,WE         HAVE          VISITED        HONOLULU         AND           MAUI         ON         VACATION        THIS          IS         A         MOST         BEAUTIFUL         STATE       ON         EARTH        THANK         YOU         FOR        SHARING         WE         LIKE        TO        GO         BACK         AGAIN
103,So good
104,Lanikai def has the pretties sand on O&#39;ahu.  But love all these spots
105,"Thanks for video, i would like to visit Hawaii this year."
106,"Hi friends. I have a similar channel.<a href=""about:invalid#zCSafez""></a> I will be happy to know your opinion about my channel"
107,Perfect
108,I&#39;m enjoying it comfortably. Keep uploading good videos.😊
109,Very nice. I would love to go there.
110,Thank you! Im planning to visit Hawaii in July and this video helped me a lot 🇦🇷
111,Cool👍🙂
112,Please: Galápagos
113,I love   HAWAII!!!
114,"good job<br><a href=""http://www.youtube.com/results?search_query=%23pathbholasumanta"">#pathbholasumanta</a>"
115,#50
116,Hawaii is the best
117,"Incredible place, soon I will rest here too"
118,as per this video <br>10th place Oahu&#39;s North Shore<br>9th Place	Molokai<br>8th place	Hapuna Beach<br>7th Place	Kaanapali Beach<br>6th Place	Na Pali Coach<br>5th Place 	Lanikai Beach<br>4th Place	Haleakala National Park<br>3rd Place 	Waimea Canyon<br>2nd Place 	Honololu<br>1st Place	Hawai&#39;i Volcanoes
119,👍👍
120,I love Mexico’s ruins.   Went to Coba 3 times in three weeks.  The bike ride option in the ruins was amazing.  Love that place
121,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
122,The beach below the ruins is blocked during the pandemic.
123,"🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍<br>Pyramids,  Stairway to Heaven...<br>🌐✌🌐✌🌐✌🌐🙌🌐✌🌐✌🌐✌<br>Spirit Undefeated"
124,This film was very well done.  Thank you.
125,My tio is from Chappas.<br>I want to ask him if I can buy a small bit of property
126,Thank you. Very  beautiful and knowledgeable veadio
127,Owo beautiful video
128,"this web👆 did a transfer of  $30,000 to my accounjt am so excited right now"
129,"Incredible video on such beautiful places! A great way to gain insight on the history of Central America! If you like traveling check out the videos on this channel, especially if you love activities that give you an adrenaline rush!"
130,"Very nice video.  I&#39;ve seen Chichen Izta, Tulum and Coba.  Looks like I&#39;ll have to add the others to my bucket list."
131,Xunantunich is another beautiful Maya ruin in Belize!
132,Hellow my friend good morning. Nice over looking shout out erwin cavite tv vlog from Philippines 🇵🇭❤️
133,Just got back from visiting Tulum and Chichén Itzá. Both places have wonderful Mayan architecture that have survived the test of times.
134,So beautiful!
135,Fantastic. Congrats.<br>Mayan was the father in law of Ravanan ( Ramayanam) 7500 years ago. Mayan was from Mexico.  It is mentioned in our Tamil literature. <br>Actually he won the war against j..e..w Ram. But the Aryans in india wrote the distorted version during Gupta Dynasty.<br>See Tamil Chinthanaiyalar Peravai videos for true Ramayana and Mahabharata.
136,Super
137,Amazing
138,Keep safe always friend
139,"Really beautiful places,<br>Thank you so much..."
140,"<a href=""https://youtu.be/zY3Izzv0Wsg"">https://youtu.be/zY3Izzv0Wsg</a><br>पहाड़ की लाईफ स्टाइल"
141,It is one of my favourite place
142,法海雷音如來🙏
143,"I&#39;m Thai and scuba diving is one of my favorite hobbies. So I have been to all these islands on the list multiple times. for me Koh Tachai should be on the list as it is one of the most beautiful island, sofest and fluffiest white sand that I ever step on and one of the most beautiful underwater landscape at their pinnacle. Koh Kood, Koh Haa, Koh Kradan and Koh Rok also better than many islands on this list imo."
144,Ko Pa-ngan.
145,Number one krabi railay Beach
146,"My son will be going there on the 8 th of this month with the army,it’s so beautiful there,god bless our military and god bless you all🙏🏽❤️"
147,"i visited in 2018 and 2020. id love to go back when covid vaccine requirement ends. love Thailand. Phuket, Samui and Phi Phi were amazing, id love to see smaller less touristy places there too."
148,งุ้ยๆๆ เราคนไทย แต่ไม่เคยไปในลิสที่ว่านี้เลยสักที่ อิอิ ใครได้ไปถือว่าโชคดีม้วกๆ
149,Good job with the video however the picture of the coral reef close to about 12-13 mins that is of the red sea/ middle east area as you have the sohal tang fish our surgeon fish that only comes from that region
150,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
151,Love my home country <br>Thailand (◍•ᴗ•◍)❤
152,"Been to all these islands however you should have included Koh kood,amazing."
153,Nice
154,Thank you for sharing this video 👍👍
155,Truly amazing destinations in Thailand. Thanks for the wonderful sharing.  Big Like...Have a nice day!
156,Nice
157,"<a href=""https://youtube.com/channel/UCsaMAfq1bXiFErbpD82hmOQ"">https://youtube.com/channel/UCsaMAfq1bXiFErbpD82hmOQ</a>"
158,"Beautiful Island<br><a href=""https://youtu.be/OkTDTcQu0-c"">https://youtu.be/OkTDTcQu0-c</a>"
159,Wow​ very​ beautiful
160,👍👍👍👍👍
161,"<a href=""https://youtu.be/rvQI6prOqLI"">https://youtu.be/rvQI6prOqLI</a>"
162,"Travel to Kenya a country in Africa ,one of the best countries full of wild range encounter and comfort,For more travel with Favour tours and safaris"
163,Am so delighted my country Kenya ranks number one on this one. Its the Maasai Mara where all the wilderbeest action takes place.
164,"we need to conserve and nature, its a gift from God"
165,"yes I was here , pyramid of Egypt...2016.."
166,"<a href=""https://youtu.be/T3gb10hltqo"">https://youtu.be/T3gb10hltqo</a>"
167,Has anyone considered that the t-rex is not found in cultural stories?
168,Thank you for the World Tourist Information.
169,"Wow some anti America shit going on with this tube. Glacier National Park, the Smokey Mountains, The Great Freaking Lakes, Everglades, Niagara Falls, the 1,000 Islands, the Badlands, New River Gorge, Delaware Water Gap, Great Salt Lake, Death Valley, all places the average human can afford to visit. Columbia River, Mississippi River, Lake Tahoe, the A P T, the Rockey Mountains, the Adirondack Park in upstate NY, the Florida Keys, and the ego centric know nothing hate America loser who compiled this list is so clueless that he/she could find success in the Biden Administration. Alaska? Whole darn state."
170,"i&#39;ve only been to one of these as a 15 year old, and hope i can go to all of them at some point in my life"
171,My favorite was the mount Everest
172,Cho t biết là ko chỉ có mỗi t là người VN đi
173,Missing big time ... BAY OF FUNDY ...
174,"It’s so wonderful to be able to see these<br>great places, that I could never travel to see. Beautiful 😃👍"
175,GREAT
176,"<a href=""https://youtube.com/shorts/Ua5vD_tY49I?feature=share"">https://youtube.com/shorts/Ua5vD_tY49I?feature=share</a>"
177,Nile river or Abeyአባይ
178,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
179,Amazing places from Turkey ❤️🇬🇷
180,so fantastic
181,"Just Imagine, you&#39;re sitting in the open air at the rooftop of a Greek resort,drinking a chilled Orange juice and enjoying the view of the Mediterranean."
182,"Very professional video, really want to visit Greece"
183,"I love Greece and I was a frequent visitor who always stayed at hotels in Greece, at least 60 days each year. But I will not visit Greece until the documents about Covid, and all the questions about vaccines and also all restrictions will be removed. See you in 1 year! Or 10 years? It&#39;s up to you, dear Greeks! The very best of the bests!"
184,Gorgeous
185,Thanks for sharing... so beautiful
186,"It&#39;s common in the overseas beaches they charge for parasols and beach beds. Going to these islands and the Mediterranean coast, no free beach bathing was odd coming from Australia."
187,"Syros is marvelous too! Also the little island of Poros,and Symi island,and Skopelos,and so many many more!"
188,Excellent production
189,😍😍😍
190,"All these islands are wonderful but there is not such a list of &quot; ten best greek islands&quot; . There are WAY TOO  MANY gorgeous greek islands , and many of them were not mentioned here. For example: Lefkada and Kefallonia in the Ionian, Spetses and Aigina in the Saronic, Skopelos (Mamma mia island) in the Sporades ,<br> Milos,Paros ,Syros, Tinos, ,Folegandros<br>Andros and Sifnos in the Cyclades, <br>Euboia ,the second biggest greek island ,Nisyros (another volcanic island) ,Lesvos ,Chios , Samos, Astypalaia, Patmos, Karpathos .... They just never end"
191,can you please bring the list of the top 10 most beautiful islands in 🇬🇷 please
192,Have been to Greece and Her Islands many times...without exception...each island has its own unique beauty...notwithstanding the over commercialised areas everywhere ....and Greek food is georgeous...the people..never less than welcoming
193,"Lovely video of greek islands but please you must visit Samos, Ikaria,Lipsi, Patmos, Amorgos, Kalymnos, Paros, Syros, Tinos, Ithaca, Paxoi all greek islands are so beautiful!"
194,A part of europe
195,"<a href=""https://www.youtube.com/watch?v=qhBuaSyHWyE&amp;t=26s"">https://www.youtube.com/watch?v=qhBuaSyHWyE&amp;t=26s</a>"
196,Moroccan girl married to a Greek man and live in Hollywood USA
197,And there are even a lot more. This is only a touch of the beauty of Greece 🇬🇷
198,This is breathtaking. Amazing camera footage and narration.
199,My country fantastic
200,"Great sphinx and piamide, I&#39;ve been here"
201,stunning!
202,Nice video about Egypt . thank you .
203,Egypt has a great history
204,"this web👆 sent  $24,000 to my account am so glad right now"
205,Excellent  ভিডিও  thanks. ভালো. Much
206,Save native Egyptian culture from Arabian colonialism!
207,"Do not go to Egypt, there is no safety in Egypt, and everyone who goes to Egypt is subjected to exploitation and fraud in one way or another.  Certainly, when you eat from their restaurants, you are sure to get gastroenteritis."
208,"wow, I hope I can get there too, that&#39;s how good you are at making your vlogs, I hope one day I&#39;m just as good as you, I always watch moiDoL vlogs, I hope you notice. Philippines"
209,"wow, I hope I can get there too, that&#39;s how good you are at making your vlogs, I hope one day I&#39;m just as good as you, I always watch moiDoL vlogs, I hope you notice. Philippines"
210,okay
211,"<a href=""https://www.youtube.com/watch?v=FyR05ZQdx6U"">https://www.youtube.com/watch?v=FyR05ZQdx6U</a>"
212,"<a href=""https://www.youtube.com/watch?v=FyR05ZQdx6U"">https://www.youtube.com/watch?v=FyR05ZQdx6U</a>"
213,❤️❤️❤️❤️
214,"Its great, i really like it, keep in touch."
215,❤️❤️❤️❤️❤️❤️❤️
216,Good
217,My beautiful country that I am proud of ❤
218,Don’t come<br>Chile is today a failed state
219,"<a href=""https://youtu.be/j8q8zY703l0"">https://youtu.be/j8q8zY703l0</a>"
220,"Please, video of Venezuela. It is the country that has all the types of climates and cultures of the world. We want to see Venezuela"
221,"Chile is amazing country, loves from Brazil 🇧🇷🇨🇱❤"
222,🇨🇱 favourite one chile.
223,Best country to chill!
224,We are the best country of Chile.jpg
225,Hermoso Chile!❤
226,Greetings
227,"I looked for this vid (and others) because I would like to visit soon. How expensive is it to travel around the country, and is it mostly bus/train/or ?? What time of year is best to visit?"
228,"The beauty of chile&#39;s nature is a welcome all over the world for tourist to visit  ,wonderful nature and a lovely place and kind people"
229,"Tremendos paisajes, y la nitidez del vídeo, bien ahí.<br>Saludos desde Lima 👍🏼"
230,Whenever I was little I was in this country
231,on these pandemic days seeing these wonderful places warms your heart!
232,"Congratulations for your national holiday on 18th September Chile from your friends in Germany &lt;3 Chile is a beaufitul country with nice landscape, charming people and such a nice culture. I´m really proud to call you our friends. Best wishes for the future from your friends in Germany &lt;3"
233,Cucao National Park
234,"Chile is the best country in Chile, regards"
235,Are you the most beautiful country in the world?
236,"I was right! CHILE  has the most natural beauty and architecture in all of South America, Viva Chile mierda!!!!"
237,love from west bengal INDIA
238,These are the reasons i love where i live. Thank you for rubbing it in lol
239,"Hello everyone, I&#39;m from Russia... tell me what kind of tree is this <a href=""https://www.youtube.com/watch?v=MQROYY0dY9A&amp;t=10m02s"">10:02</a> ???"
240,It is wonderful to travel and see such places 💯💯💯
241,FLORIDA ES BELLO DE TODOS LOS ESTADOS UNIDOS TRABAJE EN UNA CASA HERMOSA Y LA FAMILIA ME TRATO EXELENTE FUE MARAVILLOSO VIVIR HAYA SALUDOS DESDE LA SIERRA DE CHIHUAHUA
242,Thanks for this video
243,"Matthew 14:29<br>And he said, Come. And when Peter was come down out of the ship, he walked on the water, to go to Jesus."
244,love this video! one thing that I learned and wanted to share with you is to look for a duffle bag that best fits your luggage and has all the wonderful features a bag can have especially in plane travel use. I&#39;m using Nomad Lane&#39;s Bento Bag and it&#39;s a good choice.
245,Deerfield beach. Best kept secret. Gorgeous views with a amazing broadwalk and outdoor restaurants. Very quiet and safe.
246,don’t forget the springs! they are beautiful
247,Very nice scenery.
248,"Thanks for giving Fort Myers, Florida some air time @ <a href=""https://www.youtube.com/watch?v=MQROYY0dY9A&amp;t=05m40s"">05:40</a>!"
249,"<a href=""https://www.youtube.com/watch?v=MQROYY0dY9A&amp;t=0m34s"">0:34</a>- Never seen that many Manatee’s in my life before tbh."
250,Fort laud
251,🥰
252,So excited to go
253,Fort Lauderdale is know as the Venice of America for its canals - Cape Coral is 400 plus canals -
254,I wish I lived in Florida
255,I am going Disney world in March in spring break I am sooooo excited 😊😆😆😊😊
256,Please review my site to buy laptop or anything
257,Thanks a bunch for sharing with us this beautiful video I&#39;m from Morocco
258,I grew up Santa Fe!👍 <br>It&#39;s a beautiful city
259,I DONT LKE CALIFORNIA TO MANY PEOPLE
260,NEW MEXICIO NEIGHBORS  HELP EACH OTHER .
261,"New Mexico is the most underrated state in America today. So many beautiful places throughout. Chaco canyon, Carlsbad caverns, Pueblo bonito, Pueblo del oroyo being an emotional and spiritual experience!!  Have family in Alamogordo, Carlsbad, Santa Fe, and others have a better appreciation of what this state has to offer!!"
262,From Utah here......New Mexico is definitely one of the most beautiful states in America today!!
263,A good place to cook meth with a RV🙂
264,"At the <a href=""https://www.youtube.com/watch?v=fpVsrsvwe4M&amp;t=9m50s"">9:50</a> mark during the Santa Fe tour, is the Albuquerque Old Town Church also seen in the ABQ tour. OOPS. <br><br>SHIPROCK and Sky City."
265,Wow i never thought new mexico have all these amazing places is like arizona everyone thinks is only desert
266,Except they&#39;re all closed due to covid. New Mexico is scared of it&#39;s own shadow.
267,Hopefully I can visit this state and other states one day. I’ve been living in New York my whole life and I’m a little fed up living in this overpopulated and messed up state. I love New York and always will but I just wanna move on to somewhere else.
268,Been wanting to go to NM when i met the man who took my heart away but we didnt work out. Still wishing to get there though to see the nature’s gift through my naked eyes.
269,What about The Top Deck bar in Farmington?
270,I never been to New Mexico&#39;s. I lived in northern of united States .<br>I found new Mexico&#39;s it&#39;s<br>Very interesting to learn about them . Lots of beautiful places to visit .
271,"I love New Mexico, however what&#39;s the music playing in the background. It goes well with the video"
272,Breaking bad
273,Lived in Albuquerque loved it and miss it
274,a bit surprised Ruidoso was not listed. Then again it was fading when I was there in 2005.
275,"Born and raised, best advise, get the hell out while you can."
276,New mexio
277,Visiting = the land of enchantment. Living  = the land of entrapment.
278,I LOVE TEXAS!!!💕🇺🇸
279,Aawwww what about SOUTH PADRE ISLAND 🏝
280,LIBERALS STAY OUT!
281,"Where is that at <a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=00m12s"">00:12</a>? It looks awesome!"
282,Huston nah I’m good have you heard of 10k guerro?
283,Okay 👍 thanks
284,I don&#39;t know what you talking about Texas is boring state big but boring. California is the best state to  Live there a lot things to do also a lot of  Tourists come from all over the world. California is beautiful sunshine state. Love it!!!
285,"Yes i live in texas and yes God bless texas we have alot to see and alot intertaiment and alot good places to eat, you named it😋😋🥰"
286,"Texas is the. best state in America, but nt a place for progressives and liberals!"
287,I remember driving 4 hours to get to a water park in Texas and they kicked me out for bringing my dog even though it was a hiking park.
288,Wow that’s amazing so beautiful thanks for sharing enjoy watching I love Texas 💚🤗👌
289,Forgot The Rio Grande Valley.
290,Dallas TX. Is a great city
291,I have live in north Texas-DFW metroplex for 13 years now and I’m finding out these other places like the trails and canyons. Thanks for sharing this.
292,I live 2 hours away from San Antonio. One of my favorite places to go to when I need a mini vacation. I love going to the Riverwalk especially during Christmas its so Beautiful.
293,I WAS THERE MUCHAS VESES
294,Texas.the.best.i.love.tx👍
295,Forget to say that all the drog activity is all coming to the US market
296,"You Texans better beware, there&#39;s a lot of those nutty Californians running from their state and heading to yours and they will ruin your state just as they did in California. California today is a socialist shithole haven for radical anti-American ideals. Maybe the big earthquake will fix that problem. Its disgusting what California&#39;s leadership did to that state."
297,H town is awesome h town means Houston y&#39;all welcome to visit
298,The Gaints Causway is not in the republic of Ireland it&#39;s actually in the UK in Northern Ireland which is a separate county from the irish.
299,I fix eny damj cam to u in futshar
300,"When I have money, I’ll travel to there"
301,It&#39;s so wonderful and full of natural beauty on its nature
302,There always something satisfying and relaxing to watch in this YouTube channel......New subscriber......much love 💝 from Switzerland 🇨🇭
303,I’ve been living here for 3 years ! Lovely country 💚
304,There&#39;s a Killarney Provincial Park in Ontario 🇨🇦.
305,She didn&#39;t show the ether side of Dublin. And how come Achill Island isnt on this list?
306,Truly beautiful 😍
307,"I moved from Dublin to Michigan,  I miss home so much"
308,Go to the bog...
309,Ah lady! PLEASE correct your terrible pronunciation of our beautiful places... And you missed some of the best places!
310,"Кармен найди меня, я тут😥😥"
311,"<a href=""https://www.youtube.com/watch?v=zZ7AWVKbPWY"">https://www.youtube.com/watch?v=zZ7AWVKbPWY</a>"
312,"Can you zoom out more on that map please, can&#39;t see enough of the rest of Europe instead of Ireland 😂"
313,Her accent really annoys me like she should at least pronounce them right-
314,മ്മടെ കേരളത്തിൽ ഇല്ലാത്ത എന്തൂട്ട് തേങ്ങാക്കൊലയാണ് ഇങ്ങടെ അയര്‍ലണ്ടില്‍ ഉള്ളതു???
315,Proud to say I&#39;m a Irish woman
316,They will rob you stab and shoot you.its a bad country with crime
317,"Dia duit , i can speak Irish🇨🇮🇨🇮🇨🇮🇨🇮🇨🇮"
318,سكوتلند. الجميلة الساحرة يوما ما سأزورك
319,"Enjoyed 3 Highland Games in Dunoon. Loved watching the pipers come through town after the games. Got lit and drove my friends motorcycle down Argyll Street in a kilt and I was dressed as a true Scotsman. Used to love to eat at the Coylet Inn on Loch Eck. Would hike up the hill behind where I was staying, house on Midge Lane, and walk to it then take a cab back. The chef Maggie was incredible. Venison with mushrooms in a red wine gravy and the best Gateaus I&#39;ve ever eaten. I&#39;m glad it was rebuilt after the fire. Such a beautiful place. Going for a drive and taking the ferry to Bute was always fun. Really enjoyed driving down the road with pheasants sitting on the fences looking at the weird Americans. Strolling down Sauchiehall in Glasgow when it was safe. I&#39;ve heard it&#39;s a bit rough now and the &quot;Glasgow smile&quot; is making a comeback."
320,"I want to go to Fort William (good base to see Glencoe, Eilean Donan and Isle of Skye)"
321,"Iona - this is a really special place to visit. If you can afford it, you can sail around Scotland in a beautiful yacht - sharing the yacht with other people - it’s great fun."
322,Happy New Year
323,Fucking tragic American idea of Scotland.
324,"I cant stand her voice, she says her &#39;S&#39;s&quot; way too pronounced. Sounds like a snake"
325,👌👌👌 .
326,I Am From India And I Love To Travel🇮🇳❤️🙏
327,Hope to visit this place soon🥰
